H2_0.50	-1.05802481693
H2_0.59	-1.10684824784
H2_0.68	-1.12477779994
H2_0.77	-1.12574533066
H2_0.86	-1.11728296188
H2_0.95	-1.10365470240
H2_1.04	-1.08732868156
H2_1.13	-1.06974671942
H2_1.22	-1.05201673575
H2_1.31	-1.03783120343
H2_1.40	-1.02729845218
H2_1.49	-1.01947598146
H2_1.58	-1.01365976457
H2_1.67	-1.00932817570
H2_1.76	-1.00609679004
H2_1.85	-1.00368282452
H2_1.94	-1.00187795031
H2_2.03	-1.00052808715
H2_2.12	-0.999518713679
H2_2.21	-0.998764315755
H2_2.30	-0.998200817640
H2_2.39	-0.997780111518
H2_2.48	-0.997466053569
H2_2.57	-0.997231495300
H2_2.66	-0.997056061781
H2_2.75	-0.996924481931
H2_2.84	-0.996825333758
H2_2.93	-0.996750102719
H2_3.02	-0.996692474560
H2_3.11	-0.996647801400
H2_3.20	-0.996612694577
H2_3.29	-0.996584710409
H2_3.38	-0.996562105422
H2_3.47	-0.996543645349
H2_3.56	-0.996528457343
H2_3.65	-0.996515917839
H2_3.74	-0.996505570014
H2_3.83	-0.996497065460
H2_3.92	-0.996490125023
H2_4.01	-0.996484514155
H2_4.10	-0.996480028635
H2_4.19	-0.996476487149
H2_4.28	-0.996473728012
H2_4.37	-0.996471608011
H2_4.46	-0.996470002054
H2_4.55	-0.996468802831
H2_4.64	-0.996467920117
H2_4.73	-0.996467279622
H2_4.82	-0.996466821445
H2_4.91	-0.996466498273
H2_5.00	-0.996466273475
