0.50	-1.05802481693
0.59	-1.10684824784
0.68	-1.12477779994
0.77	-1.12574533066
0.86	-1.11728296188
0.95	-1.10365470240
1.04	-1.08732868156
1.13	-1.06974671942
1.22	-1.05201673575
1.31	-1.03783120343
1.40	-1.02729845218
1.49	-1.01947598146
1.58	-1.01365976457
1.67	-1.00932817570
1.76	-1.00609679004
1.85	-1.00368282452
1.94	-1.00187795031
2.03	-1.00052808715
2.12	-0.999518713679
2.21	-0.998764315755
2.30	-0.998200817640
2.39	-0.997780111518
2.48	-0.997466053569
2.57	-0.997231495300
2.66	-0.997056061781
2.75	-0.996924481931
2.84	-0.996825333758
2.93	-0.996750102719
3.02	-0.996692474560
3.11	-0.996647801400
3.20	-0.996612694577
3.29	-0.996584710409
3.38	-0.996562105422
3.47	-0.996543645349
3.56	-0.996528457343
3.65	-0.996515917839
3.74	-0.996505570014
3.83	-0.996497065460
3.92	-0.996490125023
4.01	-0.996484514155
4.10	-0.996480028635
4.19	-0.996476487149
4.28	-0.996473728012
4.37	-0.996471608011
4.46	-0.996470002054
4.55	-0.996468802831
4.64	-0.996467920117
4.73	-0.996467279622
4.82	-0.996466821445
4.91	-0.996466498273
5.00	-0.996466273475
