# 2-Coordinate Scan of Total Energy
# Title = Gaussian Scan Grid
# X-axis = Scan Coordinate 1 = SC1
# Y-axis = Scan Coordinate 2 = SC2
# Z-axis = Energy = E
#
# List Format
#  Node             X                    Y                    Z
-----------------------------------------------------------------------
  1   1      5.0000000000E-01     5.0000000000E-01    -1.3848357257E+00
  1   2      5.0000000000E-01     6.0000000000E-01    -1.4660679542E+00
  1   3      5.0000000000E-01     7.0000000000E-01    -1.5125399627E+00
  1   4      5.0000000000E-01     8.0000000000E-01    -1.5408822467E+00
  1   5      5.0000000000E-01     9.0000000000E-01    -1.5591799139E+00
  1   6      5.0000000000E-01     1.0000000000E+00    -1.5715993657E+00
  1   7      5.0000000000E-01     1.1000000000E+00    -1.5803886151E+00
  1   8      5.0000000000E-01     1.2000000000E+00    -1.5868144056E+00
  1   9      5.0000000000E-01     1.3000000000E+00    -1.5916237003E+00
  1  10      5.0000000000E-01     1.4000000000E+00    -1.5952762881E+00
  1  11      5.0000000000E-01     1.5000000000E+00    -1.5980674643E+00
  1  12      5.0000000000E-01     1.6000000000E+00    -1.6001977437E+00
  1  13      5.0000000000E-01     1.7000000000E+00    -1.6018131603E+00
  1  14      5.0000000000E-01     1.8000000000E+00    -1.6030264057E+00
  1  15      5.0000000000E-01     1.9000000000E+00    -1.6039268837E+00
  1  16      5.0000000000E-01     2.0000000000E+00    -1.6045859859E+00
  1  17      5.0000000000E-01     2.1000000000E+00    -1.6050607963E+00
  1  18      5.0000000000E-01     2.2000000000E+00    -1.6053968938E+00
  1  19      5.0000000000E-01     2.3000000000E+00    -1.6056301262E+00
  1  20      5.0000000000E-01     2.4000000000E+00    -1.6057884161E+00
  1  21      5.0000000000E-01     2.5000000000E+00    -1.6058928413E+00
  1  22      5.0000000000E-01     2.6000000000E+00    -1.6059592495E+00
  1  23      5.0000000000E-01     2.7000000000E+00    -1.6059989875E+00
  1  24      5.0000000000E-01     2.8000000000E+00    -1.6060204728E+00
  1  25      5.0000000000E-01     2.9000000000E+00    -1.6060292928E+00
  1  26      5.0000000000E-01     3.0000000000E+00    -1.6060297342E+00
  2   1      6.0000000000E-01     5.0000000000E-01    -1.4660679542E+00
  2   2      6.0000000000E-01     6.0000000000E-01    -1.5425013721E+00
  2   3      6.0000000000E-01     7.0000000000E-01    -1.5845113980E+00
  2   4      6.0000000000E-01     8.0000000000E-01    -1.6088905644E+00
  2   5      6.0000000000E-01     9.0000000000E-01    -1.6238441144E+00
  2   6      6.0000000000E-01     1.0000000000E+00    -1.6335622087E+00
  2   7      6.0000000000E-01     1.1000000000E+00    -1.6402418918E+00
  2   8      6.0000000000E-01     1.2000000000E+00    -1.6450602456E+00
  2   9      6.0000000000E-01     1.3000000000E+00    -1.6486644758E+00
  2  10      6.0000000000E-01     1.4000000000E+00    -1.6514218847E+00
  2  11      6.0000000000E-01     1.5000000000E+00    -1.6535508617E+00
  2  12      6.0000000000E-01     1.6000000000E+00    -1.6551921519E+00
  2  13      6.0000000000E-01     1.7000000000E+00    -1.6564468984E+00
  2  14      6.0000000000E-01     1.8000000000E+00    -1.6573944982E+00
  2  15      6.0000000000E-01     1.9000000000E+00    -1.6580996836E+00
  2  16      6.0000000000E-01     2.0000000000E+00    -1.6586154776E+00
  2  17      6.0000000000E-01     2.1000000000E+00    -1.6589852142E+00
  2  18      6.0000000000E-01     2.2000000000E+00    -1.6592441726E+00
  2  19      6.0000000000E-01     2.3000000000E+00    -1.6594205753E+00
  2  20      6.0000000000E-01     2.4000000000E+00    -1.6595367514E+00
  2  21      6.0000000000E-01     2.5000000000E+00    -1.6596097589E+00
  2  22      6.0000000000E-01     2.6000000000E+00    -1.6596525531E+00
  2  23      6.0000000000E-01     2.7000000000E+00    -1.6596744610E+00
  2  24      6.0000000000E-01     2.8000000000E+00    -1.6596824135E+00
  2  25      6.0000000000E-01     2.9000000000E+00    -1.6596810063E+00
  2  26      6.0000000000E-01     3.0000000000E+00    -1.6596737312E+00
  3   1      7.0000000000E-01     5.0000000000E-01    -1.5125399627E+00
  3   2      7.0000000000E-01     6.0000000000E-01    -1.5845113980E+00
  3   3      7.0000000000E-01     7.0000000000E-01    -1.6222139540E+00
  3   4      7.0000000000E-01     8.0000000000E-01    -1.6426133896E+00
  3   5      7.0000000000E-01     9.0000000000E-01    -1.6540746302E+00
  3   6      7.0000000000E-01     1.0000000000E+00    -1.6608716694E+00
  3   7      7.0000000000E-01     1.1000000000E+00    -1.6652047150E+00
  3   8      7.0000000000E-01     1.2000000000E+00    -1.6681975994E+00
  3   9      7.0000000000E-01     1.3000000000E+00    -1.6704162118E+00
  3  10      7.0000000000E-01     1.4000000000E+00    -1.6721403213E+00
  3  11      7.0000000000E-01     1.5000000000E+00    -1.6735078598E+00
  3  12      7.0000000000E-01     1.6000000000E+00    -1.6745921507E+00
  3  13      7.0000000000E-01     1.7000000000E+00    -1.6754410379E+00
  3  14      7.0000000000E-01     1.8000000000E+00    -1.6760933550E+00
  3  15      7.0000000000E-01     1.9000000000E+00    -1.6765837004E+00
  3  16      7.0000000000E-01     2.0000000000E+00    -1.6769430150E+00
  3  17      7.0000000000E-01     2.1000000000E+00    -1.6771985377E+00
  3  18      7.0000000000E-01     2.2000000000E+00    -1.6773738359E+00
  3  19      7.0000000000E-01     2.3000000000E+00    -1.6774886610E+00
  3  20      7.0000000000E-01     2.4000000000E+00    -1.6775592291E+00
  3  21      7.0000000000E-01     2.5000000000E+00    -1.6775982334E+00
  3  22      7.0000000000E-01     2.6000000000E+00    -1.6776155021E+00
