Traj1 P2 R
Traj10 P2 R
Traj11 P2 R
Traj12 P1 R
Traj13 P2 R
Traj14 P2 R
Traj15 P2 R
Traj16 P2 R
Traj17 P1 R
Traj18 P2 R
Traj19 P2 R
Traj2 P1 R
Traj20 P2 R
Traj21 P2 R
Traj22 P1 R
Traj23 P2 R
Traj24 P1 R
Traj25 P2 R
Traj26 P2 R
Traj27 P2 R
Traj28 P2 R
Traj29 P2 R
Traj3 P2 R
Traj30 P2 R
Traj31 P2 none
Traj32 P2 R
Traj33 P2 R
Traj34 P2 R
Traj35 P2 R
Traj36 P2 R
Traj37 P2 none
Traj38 P2 R
Traj39 P2 R
Traj4 P2 R
Traj40 P2 R
Traj41 P2 R
Traj42 P1 R
Traj43 P2 R
Traj44 P2 R
Traj45 P2 R
Traj46 P2 R
Traj47 P2 R
Traj48 P2 R
Traj49 P2 R
Traj5 P2 R
Traj50 P2 R
Traj51 P2 R
Traj52 P2 R
Traj53 P2 R
Traj54 P2 R
Traj55 P2 R
Traj56 P2 none
Traj57 P2 R
Traj58 P1 R
Traj59 P1 R
Traj6 P2 R
Traj60 P2 R
Traj61 P2 R
Traj62 P2 R
Traj63 P2 R
Traj64 P1 R
Traj65 P2 R
Traj66 P2 R
Traj67 P2 R
Traj68 P2 R
Traj69 P2 R
Traj7 P1 R
Traj70 P1 none
Traj71 P2 R
Traj72 P2 R
Traj73 P2 R
Traj74 P2 R
Traj75 P2 R
Traj76 P2 R
Traj77 P2 R
Traj78 P1 R
Traj79 P2 R
Traj8 P2 R
Traj80 P2 R
Traj9 P1 R
