Traj1 P2 R
Traj10 P1 R
Traj100 P1 R
Traj101 P2 R
Traj102 P1 R
Traj103 P2 R
Traj104 P2 R
Traj105 P2 R
Traj106 P2 none
Traj107 P2 R
Traj108 P2 R
Traj109 P1 R
Traj11 P2 R
Traj110 P1 R
Traj111 P1 R
Traj112 P1 R
Traj113 P2 R
Traj114 P2 R
Traj115 P2 R
Traj12 P2 R
Traj13 P2 R
Traj14 P2 R
Traj15 P2 R
Traj16 P2 R
Traj17 P1 R
Traj18 P2 R
Traj19 P2 R
Traj2 P2 R
Traj20 P1 R
Traj21 P2 R
Traj22 P2 R
Traj23 P2 R
Traj24 P2 R
Traj25 P2 R
Traj26 P2 R
Traj27 P2 R
Traj28 P2 R
Traj29 P2 R
Traj3 P1 R
Traj30 P2 none
Traj31 P1 R
Traj32 P1 R
Traj33 P1 R
Traj34 P1 none
Traj35 R P2
Traj36 P2 R
Traj37 P2 R
Traj38 P2 R
Traj39 P2 R
Traj4 P2 R
Traj40 P1 R
Traj41 P2 R
Traj42 P2 R
Traj43 P2 R
Traj44 P1 none
Traj45 P2 R
Traj46 P2 R
Traj47 P2 R
Traj48 P1 R
Traj49 P2 R
Traj5 R P2
Traj50 P2 R
Traj51 P2 R
Traj52 P2 R
Traj53 P2 R
Traj54 P2 R
Traj55 P2 R
Traj56 P2 R
Traj57 P2 R
Traj58 P2 R
Traj59 P1 R
Traj6 P2 none
Traj60 none R
Traj61 P2 R
Traj62 P2 R
Traj63 P2 none
Traj64 P2 R
Traj65 P2 R
Traj66 P2 R
Traj67 P2 R
Traj68 P2 R
Traj69 P2 R
Traj7 P1 R
Traj70 P2 R
Traj71 P2 R
Traj72 P2 R
Traj73 P2 R
Traj74 P2 R
Traj75 P2 R
Traj76 P1 R
Traj77 P2 R
Traj78 P1 R
Traj79 P1 R
Traj8 P1 R
Traj80 P2 none
Traj81 P2 R
Traj82 P2 R
Traj83 P1 R
Traj84 P2 R
Traj85 P2 R
Traj86 P1 R
Traj87 P1 R
Traj88 P2 R
Traj89 P1 R
Traj9 P2 R
Traj90 P1 R
Traj91 P2 R
Traj92 P2 R
Traj93 P1 R
Traj94 P2 R
Traj95 P1 R
Traj96 P2 R
Traj97 P2 R
Traj98 P2 R
Traj99 P2 R
