R -19.26416 0.0000 -541.898941945
TSS1 0.0000 0.0000 -541.743001797
TSS2 6.95763 0.0000 -541.781406281
P1 6.95763 -22.1023 -541.915303117
P2 6.95763 22.79630 -541.919130915
